,latitude,longitude,geometry
0,49.0,-123.0,POINT (-123 49)
1,49.0,-122.0,POINT (-122 49)
2,49.0,-121.0,POINT (-121 49)
3,49.0,-119.0,POINT (-119 49)
4,49.0,-118.0,POINT (-118 49)
5,49.0,-116.0,POINT (-116 49)
6,49.0,-107.0,POINT (-107 49)
7,49.0,-99.0,POINT (-99 49)
8,49.0,-98.0,POINT (-98 49)
9,49.0,-97.0,POINT (-97 49)
10,49.0,-95.0,POINT (-95 49)
11,48.0,-124.0,POINT (-124 48)
12,48.0,-123.0,POINT (-123 48)
13,48.0,-122.0,POINT (-122 48)
14,48.0,-121.0,POINT (-121 48)
15,48.0,-120.0,POINT (-120 48)
16,48.0,-119.0,POINT (-119 48)
17,48.0,-118.0,POINT (-118 48)
18,48.0,-117.0,POINT (-117 48)
19,48.0,-116.0,POINT (-116 48)
20,48.0,-115.0,POINT (-115 48)
21,48.0,-114.0,POINT (-114 48)
22,48.0,-113.0,POINT (-113 48)
23,48.0,-112.0,POINT (-112 48)
24,48.0,-111.0,POINT (-111 48)
25,48.0,-110.0,POINT (-110 48)
26,48.0,-109.0,POINT (-109 48)
27,48.0,-108.0,POINT (-108 48)
28,48.0,-107.0,POINT (-107 48)
29,48.0,-106.0,POINT (-106 48)
30,48.0,-105.0,POINT (-105 48)
31,48.0,-104.0,POINT (-104 48)
32,48.0,-103.0,POINT (-103 48)
33,48.0,-102.0,POINT (-102 48)
34,48.0,-101.0,POINT (-101 48)
35,48.0,-100.0,POINT (-100 48)
36,48.0,-99.0,POINT (-99 48)
37,48.0,-98.0,POINT (-98 48)
38,48.0,-97.0,POINT (-97 48)
39,48.0,-96.0,POINT (-96 48)
40,48.0,-95.0,POINT (-95 48)
41,48.0,-94.0,POINT (-94 48)
42,48.0,-93.0,POINT (-93 48)
43,48.0,-92.0,POINT (-92 48)
44,48.0,-91.0,POINT (-91 48)
45,48.0,-90.0,POINT (-90 48)
46,48.0,-89.0,POINT (-89 48)
47,48.0,-88.0,POINT (-88 48)
48,47.0,-124.0,POINT (-124 47)
49,47.0,-123.0,POINT (-123 47)
50,47.0,-122.0,POINT (-122 47)
51,47.0,-121.0,POINT (-121 47)
52,47.0,-120.0,POINT (-120 47)
53,47.0,-119.0,POINT (-119 47)
54,47.0,-118.0,POINT (-118 47)
55,47.0,-117.0,POINT (-117 47)
56,47.0,-116.0,POINT (-116 47)
57,47.0,-115.0,POINT (-115 47)
58,47.0,-114.0,POINT (-114 47)
59,47.0,-113.0,POINT (-113 47)
60,47.0,-112.0,POINT (-112 47)
61,47.0,-111.0,POINT (-111 47)
62,47.0,-110.0,POINT (-110 47)
63,47.0,-109.0,POINT (-109 47)
64,47.0,-108.0,POINT (-108 47)
65,47.0,-107.0,POINT (-107 47)
66,47.0,-106.0,POINT (-106 47)
67,47.0,-105.0,POINT (-105 47)
68,47.0,-104.0,POINT (-104 47)
69,47.0,-103.0,POINT (-103 47)
70,47.0,-102.0,POINT (-102 47)
71,47.0,-101.0,POINT (-101 47)
72,47.0,-100.0,POINT (-100 47)
73,47.0,-99.0,POINT (-99 47)
74,47.0,-98.0,POINT (-98 47)
75,47.0,-97.0,POINT (-97 47)
76,47.0,-96.0,POINT (-96 47)
77,47.0,-95.0,POINT (-95 47)
78,47.0,-94.0,POINT (-94 47)
79,47.0,-93.0,POINT (-93 47)
80,47.0,-92.0,POINT (-92 47)
81,47.0,-91.0,POINT (-91 47)
82,47.0,-90.0,POINT (-90 47)
83,47.0,-89.0,POINT (-89 47)
84,47.0,-88.0,POINT (-88 47)
85,47.0,-87.0,POINT (-87 47)
86,47.0,-86.0,POINT (-86 47)
87,47.0,-69.0,POINT (-69 47)
88,47.0,-68.0,POINT (-68 47)
89,46.0,-124.0,POINT (-124 46)
90,46.0,-123.0,POINT (-123 46)
91,46.0,-122.0,POINT (-122 46)
92,46.0,-121.0,POINT (-121 46)
93,46.0,-120.0,POINT (-120 46)
94,46.0,-119.0,POINT (-119 46)
95,46.0,-118.0,POINT (-118 46)
96,46.0,-117.0,POINT (-117 46)
97,46.0,-116.0,POINT (-116 46)
98,46.0,-115.0,POINT (-115 46)
99,46.0,-114.0,POINT (-114 46)
100,46.0,-113.0,POINT (-113 46)
101,46.0,-112.0,POINT (-112 46)
102,46.0,-111.0,POINT (-111 46)
103,46.0,-110.0,POINT (-110 46)
104,46.0,-109.0,POINT (-109 46)
105,46.0,-108.0,POINT (-108 46)
106,46.0,-107.0,POINT (-107 46)
107,46.0,-106.0,POINT (-106 46)
108,46.0,-105.0,POINT (-105 46)
109,46.0,-104.0,POINT (-104 46)
110,46.0,-103.0,POINT (-103 46)
111,46.0,-102.0,POINT (-102 46)
112,46.0,-101.0,POINT (-101 46)
113,46.0,-100.0,POINT (-100 46)
114,46.0,-99.0,POINT (-99 46)
115,46.0,-98.0,POINT (-98 46)
116,46.0,-97.0,POINT (-97 46)
117,46.0,-96.0,POINT (-96 46)
118,46.0,-95.0,POINT (-95 46)
119,46.0,-94.0,POINT (-94 46)
120,46.0,-93.0,POINT (-93 46)
121,46.0,-92.0,POINT (-92 46)
122,46.0,-91.0,POINT (-91 46)
123,46.0,-90.0,POINT (-90 46)
124,46.0,-89.0,POINT (-89 46)
125,46.0,-88.0,POINT (-88 46)
126,46.0,-87.0,POINT (-87 46)
127,46.0,-86.0,POINT (-86 46)
128,46.0,-85.0,POINT (-85 46)
129,46.0,-84.0,POINT (-84 46)
130,46.0,-70.0,POINT (-70 46)
131,46.0,-69.0,POINT (-69 46)
132,46.0,-68.0,POINT (-68 46)
133,45.0,-124.0,POINT (-124 45)
134,45.0,-123.0,POINT (-123 45)
135,45.0,-122.0,POINT (-122 45)
136,45.0,-121.0,POINT (-121 45)
137,45.0,-120.0,POINT (-120 45)
138,45.0,-119.0,POINT (-119 45)
139,45.0,-118.0,POINT (-118 45)
140,45.0,-117.0,POINT (-117 45)
141,45.0,-116.0,POINT (-116 45)
142,45.0,-115.0,POINT (-115 45)
143,45.0,-114.0,POINT (-114 45)
144,45.0,-113.0,POINT (-113 45)
145,45.0,-112.0,POINT (-112 45)
146,45.0,-111.0,POINT (-111 45)
147,45.0,-110.0,POINT (-110 45)
148,45.0,-109.0,POINT (-109 45)
149,45.0,-108.0,POINT (-108 45)
150,45.0,-107.0,POINT (-107 45)
151,45.0,-106.0,POINT (-106 45)
152,45.0,-105.0,POINT (-105 45)
153,45.0,-104.0,POINT (-104 45)
154,45.0,-103.0,POINT (-103 45)
155,45.0,-102.0,POINT (-102 45)
156,45.0,-101.0,POINT (-101 45)
157,45.0,-100.0,POINT (-100 45)
158,45.0,-99.0,POINT (-99 45)
159,45.0,-98.0,POINT (-98 45)
160,45.0,-97.0,POINT (-97 45)
161,45.0,-96.0,POINT (-96 45)
162,45.0,-95.0,POINT (-95 45)
163,45.0,-94.0,POINT (-94 45)
164,45.0,-93.0,POINT (-93 45)
165,45.0,-92.0,POINT (-92 45)
166,45.0,-91.0,POINT (-91 45)
167,45.0,-90.0,POINT (-90 45)
168,45.0,-89.0,POINT (-89 45)
169,45.0,-88.0,POINT (-88 45)
170,45.0,-87.0,POINT (-87 45)
171,45.0,-86.0,POINT (-86 45)
172,45.0,-85.0,POINT (-85 45)
173,45.0,-84.0,POINT (-84 45)
174,45.0,-83.0,POINT (-83 45)
175,45.0,-73.0,POINT (-73 45)
176,45.0,-72.0,POINT (-72 45)
177,45.0,-71.0,POINT (-71 45)
178,45.0,-70.0,POINT (-70 45)
179,45.0,-69.0,POINT (-69 45)
180,45.0,-68.0,POINT (-68 45)
181,44.0,-124.0,POINT (-124 44)
182,44.0,-123.0,POINT (-123 44)
183,44.0,-122.0,POINT (-122 44)
184,44.0,-121.0,POINT (-121 44)
185,44.0,-120.0,POINT (-120 44)
186,44.0,-119.0,POINT (-119 44)
187,44.0,-118.0,POINT (-118 44)
188,44.0,-117.0,POINT (-117 44)
189,44.0,-116.0,POINT (-116 44)
190,44.0,-115.0,POINT (-115 44)
191,44.0,-114.0,POINT (-114 44)
192,44.0,-113.0,POINT (-113 44)
193,44.0,-112.0,POINT (-112 44)
194,44.0,-111.0,POINT (-111 44)
195,44.0,-110.0,POINT (-110 44)
196,44.0,-109.0,POINT (-109 44)
197,44.0,-108.0,POINT (-108 44)
198,44.0,-107.0,POINT (-107 44)
199,44.0,-106.0,POINT (-106 44)
200,44.0,-105.0,POINT (-105 44)
201,44.0,-104.0,POINT (-104 44)
202,44.0,-103.0,POINT (-103 44)
203,44.0,-102.0,POINT (-102 44)
204,44.0,-101.0,POINT (-101 44)
205,44.0,-100.0,POINT (-100 44)
206,44.0,-99.0,POINT (-99 44)
207,44.0,-98.0,POINT (-98 44)
208,44.0,-97.0,POINT (-97 44)
209,44.0,-96.0,POINT (-96 44)
210,44.0,-95.0,POINT (-95 44)
211,44.0,-94.0,POINT (-94 44)
212,44.0,-93.0,POINT (-93 44)
213,44.0,-92.0,POINT (-92 44)
214,44.0,-91.0,POINT (-91 44)
215,44.0,-90.0,POINT (-90 44)
216,44.0,-89.0,POINT (-89 44)
217,44.0,-88.0,POINT (-88 44)
218,44.0,-87.0,POINT (-87 44)
219,44.0,-86.0,POINT (-86 44)
220,44.0,-85.0,POINT (-85 44)
221,44.0,-84.0,POINT (-84 44)
222,44.0,-83.0,POINT (-83 44)
223,44.0,-76.0,POINT (-76 44)
224,44.0,-75.0,POINT (-75 44)
225,44.0,-74.0,POINT (-74 44)
226,44.0,-73.0,POINT (-73 44)
227,44.0,-72.0,POINT (-72 44)
228,44.0,-71.0,POINT (-71 44)
229,44.0,-70.0,POINT (-70 44)
230,44.0,-69.0,POINT (-69 44)
231,43.0,-124.0,POINT (-124 43)
232,43.0,-123.0,POINT (-123 43)
233,43.0,-122.0,POINT (-122 43)
234,43.0,-121.0,POINT (-121 43)
235,43.0,-120.0,POINT (-120 43)
236,43.0,-119.0,POINT (-119 43)
237,43.0,-118.0,POINT (-118 43)
238,43.0,-117.0,POINT (-117 43)
239,43.0,-116.0,POINT (-116 43)
240,43.0,-115.0,POINT (-115 43)
241,43.0,-114.0,POINT (-114 43)
242,43.0,-113.0,POINT (-113 43)
243,43.0,-112.0,POINT (-112 43)
244,43.0,-111.0,POINT (-111 43)
245,43.0,-110.0,POINT (-110 43)
246,43.0,-109.0,POINT (-109 43)
247,43.0,-108.0,POINT (-108 43)
248,43.0,-107.0,POINT (-107 43)
249,43.0,-106.0,POINT (-106 43)
250,43.0,-105.0,POINT (-105 43)
251,43.0,-104.0,POINT (-104 43)
252,43.0,-103.0,POINT (-103 43)
253,43.0,-102.0,POINT (-102 43)
254,43.0,-101.0,POINT (-101 43)
255,43.0,-100.0,POINT (-100 43)
256,43.0,-99.0,POINT (-99 43)
257,43.0,-98.0,POINT (-98 43)
258,43.0,-97.0,POINT (-97 43)
259,43.0,-96.0,POINT (-96 43)
260,43.0,-95.0,POINT (-95 43)
261,43.0,-94.0,POINT (-94 43)
262,43.0,-93.0,POINT (-93 43)
263,43.0,-92.0,POINT (-92 43)
264,43.0,-91.0,POINT (-91 43)
265,43.0,-90.0,POINT (-90 43)
266,43.0,-89.0,POINT (-89 43)
267,43.0,-88.0,POINT (-88 43)
268,43.0,-87.0,POINT (-87 43)
269,43.0,-86.0,POINT (-86 43)
270,43.0,-85.0,POINT (-85 43)
271,43.0,-84.0,POINT (-84 43)
272,43.0,-83.0,POINT (-83 43)
273,43.0,-79.0,POINT (-79 43)
274,43.0,-78.0,POINT (-78 43)
275,43.0,-77.0,POINT (-77 43)
276,43.0,-76.0,POINT (-76 43)
277,43.0,-75.0,POINT (-75 43)
278,43.0,-74.0,POINT (-74 43)
279,43.0,-73.0,POINT (-73 43)
280,43.0,-72.0,POINT (-72 43)
281,43.0,-71.0,POINT (-71 43)
282,42.0,-124.0,POINT (-124 42)
283,42.0,-123.0,POINT (-123 42)
284,42.0,-122.0,POINT (-122 42)
285,42.0,-121.0,POINT (-121 42)
286,42.0,-120.0,POINT (-120 42)
287,42.0,-119.0,POINT (-119 42)
288,42.0,-118.0,POINT (-118 42)
289,42.0,-117.0,POINT (-117 42)
290,42.0,-116.0,POINT (-116 42)
291,42.0,-115.0,POINT (-115 42)
292,42.0,-114.0,POINT (-114 42)
293,42.0,-113.0,POINT (-113 42)
294,42.0,-112.0,POINT (-112 42)
295,42.0,-111.0,POINT (-111 42)
296,42.0,-110.0,POINT (-110 42)
297,42.0,-109.0,POINT (-109 42)
298,42.0,-108.0,POINT (-108 42)
299,42.0,-107.0,POINT (-107 42)
300,42.0,-106.0,POINT (-106 42)
301,42.0,-105.0,POINT (-105 42)
302,42.0,-104.0,POINT (-104 42)
303,42.0,-103.0,POINT (-103 42)
304,42.0,-102.0,POINT (-102 42)
305,42.0,-101.0,POINT (-101 42)
306,42.0,-100.0,POINT (-100 42)
307,42.0,-99.0,POINT (-99 42)
308,42.0,-98.0,POINT (-98 42)
309,42.0,-97.0,POINT (-97 42)
310,42.0,-96.0,POINT (-96 42)
311,42.0,-95.0,POINT (-95 42)
312,42.0,-94.0,POINT (-94 42)
313,42.0,-93.0,POINT (-93 42)
314,42.0,-92.0,POINT (-92 42)
315,42.0,-91.0,POINT (-91 42)
316,42.0,-90.0,POINT (-90 42)
317,42.0,-89.0,POINT (-89 42)
318,42.0,-88.0,POINT (-88 42)
319,42.0,-87.0,POINT (-87 42)
